집회 날짜,집회 일시,집회 장소,신고 인원,관할서,비고
2019.02.15,05:30∼10:00,GS건설현장 신대방동,500,동작,
2019.02.15,10:00∼종료시,정동,130,종로,
2019.02.15,10:00∼13:00,서대문구청 연희동,50,서대문,
2019.02.15,12:00∼16:00,장충체육관 장충동,30,중부,
2019.02.15,14:00∼16:00,오피스텔 천호동,50,강동,
2019.02.15,14:00∼16:00,정부청사 세종로,200,종로,
2019.02.15,15:00∼18:00,노원구청 상계동,70,노원,
2019.02.15,16:00∼18:00,시교육청 신문로2가,100,종로,
2019.02.15,17:00∼19:00,금천구청 시흥동,200,금천,
2019.02.15,18:00∼19:30,BH사랑채 효자동,200,종로,
2019.02.15,19:00∼20:30,세종문화회관 세종로,300,종로,
2019.02.15,19:00∼21:00,광화문 남측광장 세종대로,100,종로,
