,신고 인원,신고 인원,신고 인원,신고 인원,신고 인원,신고 인원,신고 인원,주소,위도,경도
집회 날짜,2019.02.14,2019.02.15,2019.02.16,2019.02.17,2019.02.18,2019.02.19,2019.02.20,,,
관할서,,,,,,,,,,
강남,0.0,0.0,0.0,275.0,0.0,0.0,300.0,서울 강남구 대치동 998,127.06707150521913,37.50938856957773
강동,0.0,50.0,0.0,0.0,50.0,0.0,0.0,서울 강동구 성내동 541-1,127.12689445192979,37.528675586086614
강서,0.0,0.0,0.0,0.0,0.0,200.0,0.0,서울 양천구 신월동 25,126.82998362436423,37.539782668110185
광진,0.0,0.0,0.0,0.0,500.0,0.0,0.0,서울 광진구 구의동 254-32,127.083842771963,37.5428136101647
구로,0.0,0.0,500.0,0.0,0.0,0.0,500.0,서울 구로구 구로동 436,126.886660285169,37.4948844667899
금천,200.0,200.0,0.0,0.0,0.0,0.0,200.0,서울 금천구 시흥동 산 189,126.89674921449215,37.45725314643252
남대문,50.0,0.0,0.0,100.0,175.0,165.0,0.0,서울 중구 남대문로5가 561,126.973499492486,37.5549786547527
노원,0.0,70.0,0.0,0.0,0.0,0.0,0.0,서울 노원구 하계동 250,127.071404832413,37.6423345266253
도봉,0.0,0.0,0.0,0.0,0.0,0.0,24.0,서울 도봉구 창동 17,127.05270640425917,37.65339850283973
동대문,60.0,0.0,0.0,0.0,60.0,0.0,0.0,서울 동대문구 청량리동 229,127.04576239696928,37.58508176321097
동작,500.0,500.0,0.0,0.0,0.0,0.0,0.0,서울 동작구 노량진동 72-35,126.94285899341229,37.513147550556226
마포,130.0,0.0,0.0,0.0,200.0,200.0,200.0,서울 마포구 아현동 618-1,126.95394220726662,37.55101229580099
서대문,0.0,50.0,0.0,0.0,50.0,50.0,50.0,서울 서대문구 미근동 165,126.96679138866718,37.56490283018693
서초,0.0,0.0,0.0,70.0,0.0,0.0,400.0,서울 서초구 서초동 1726-1,127.00528950116143,37.495614213519424
성북,0.0,0.0,0.0,0.0,0.0,65.0,0.0,서울 성북구 삼선동5가 301,127.016254625261,37.5897697305228
송파,0.0,0.0,0.0,0.0,0.0,60.0,0.0,서울 송파구 가락동 9,127.12716193066983,37.501976988845826
수서,0.0,0.0,0.0,0.0,300.0,0.0,400.0,서울 강남구 개포동 14,127.077143044327,37.4934972653425
양천,0.0,0.0,0.0,0.0,30.0,0.0,0.0,서울 양천구 신정동 321,126.86554089186782,37.51655448877979
영등포,300.0,0.0,0.0,0.0,50.0,103.33333333333333,500.0,서울 영등포구 당산동3가 2-11,126.90094655076123,37.52585217071908
용산,500.0,0.0,0.0,0.0,0.0,0.0,0.0,서울 용산구 원효로1가 12-12,126.967778896191,37.5411811395942
종로,383.3333333333333,171.66666666666666,1875.3846153846155,150.0,775.0,300.0,2000.0,서울 종로구 경운동 90-18,126.98489890358965,37.57554203072626
종암,0.0,0.0,0.0,0.0,50.0,0.0,0.0,서울 성북구 종암동 3-1260,127.0322331298805,37.60209664507542
중부,0.0,30.0,0.0,0.0,0.0,300.0,0.0,서울 중구 저동2가 62-1,126.98959144113,37.5636199296203
