집회 날짜,집회 일시,집회 장소,신고 인원,관할서,비고
2019.02.14,05:30∼10:00,GS건설현장 신대방동,500,동작,
2019.02.14,10:00∼종료시,마포역,130,마포,
2019.02.14,11:30∼12:30,광화문KT 세종대로,50,종로,
2019.02.14,11:30∼12:30,청량4 용두동,60,동대문,
2019.02.14,14:00∼15:30,시사저널 한강로 2가동,500,용산,
2019.02.14,17:00∼19:00,서울고용노동청 장교동,50,남대문,
2019.02.14,17:00∼19:00,금천구청 시흥동,200,금천,
2019.02.14,19:00∼20:30,자유한국당사 영등포동,300,영등포,
2019.02.14,19:00∼21:00,광화문 세종대로,100,종로,
2019.02.14,19:00∼22:00,서울시교육청 새문안로,1000,종로,
2019.02.15,05:30∼10:00,GS건설현장 신대방동,500,동작,
2019.02.15,10:00∼종료시,정동,130,종로,
2019.02.15,10:00∼13:00,서대문구청 연희동,50,서대문,
2019.02.15,12:00∼16:00,장충체육관 장충동,30,중부,
2019.02.15,14:00∼16:00,오피스텔 천호동,50,강동,
2019.02.15,14:00∼16:00,정부청사 세종로,200,종로,
2019.02.15,15:00∼18:00,노원구청 상계동,70,노원,
2019.02.15,16:00∼18:00,시교육청 신문로2가,100,종로,
2019.02.15,17:00∼19:00,금천구청 시흥동,200,금천,
2019.02.15,18:00∼19:30,BH사랑채 효자동,200,종로,
2019.02.15,19:00∼20:30,세종문화회관 세종로,300,종로,
2019.02.15,19:00∼21:00,광화문 남측광장 세종대로,100,종로,
2019.02.16,05:30∼11:00,경인로63길 신도림동,500,구로,
2019.02.16,11:00∼12:30,광화문KT 세종로,200,종로,
2019.02.16,13:00∼15:00,세종문화회관,300,종로,
2019.02.16,13:00∼18:00,파이낸스빌딩 태평로1가,10000,종로,
2019.02.16,13:30∼17:30,동화면세점 신문로1가,500,종로,
2019.02.16,13:30∼18:00,서울역광장 봉래동,10000,종로,
2019.02.16,14:00∼15:00,광화문KT 세종대로,50,종로,
2019.02.16,14:00∼16:00,동아일보 세종로,500,종로,
2019.02.16,14:00∼16:00,사랑채 관훈동,300,종로,
2019.02.16,14:00∼16:30,교보빌딩 세종로,500,종로,
2019.02.16,14:00∼17:30,보신각 종로1가,300,종로,
2019.02.16,14:00∼18:00,광화문KT 세종대로,30,종로,
2019.02.16,14:00∼18:00,대한문 정동,1500,종로,
2019.02.16,15:00∼16:00,수운회관 경운동,200,종로,
2019.02.17,08:00∼20:00,조선호텔 서소문동,100,남대문,
2019.02.17,09:00∼15:00,현대 ESA 서초동,70,서초,
2019.02.17,13:00∼15:00,현대백화점 압구정본점 압구정동,400,강남,
2019.02.17,14:00?18:00,서울파르나스 삼성동,150,강남,
2019.02.17,15:00?18:00,세종문화회관 세종로,200,종로,
2019.02.17,18:00?20:00,광화문 남측광장 세종대로,100,종로,
2019.02.18,06:00∼18:00,다비드건설 목동,30,양천,
2019.02.18,8:00,자유한국당사 앞,50,영등포,
2019.02.18,10:00∼13:00,시청동편 태평로,300,남대문,
2019.02.18,10:00∼13:00,서대문구청 연희동,50,서대문,
2019.02.18,10:00∼15:00,카이트타워 역삼동,300,수서,
2019.02.18,10:00∼15:00,마포구청 광장 성산동,200,마포,
2019.02.18,10:00∼16:00,광진경찰서 구의동,500,광진,
2019.02.18,11:00∼12:30,서울시교육청 서소문동,1000,종로,
2019.02.18,13:00∼15:00,SK 1차아파트 종암동,50,종암,
2019.02.18,13:00∼16:00,청량4 공사현장 용두동,60,동대문,
2019.02.18,14:00∼16:00,시청동편 태평로,50,남대문,
2019.02.18,14:00∼16:00,강동구청 제1청사 성내동,50,강동,
2019.02.18,14:00∼16:30,BH사랑채,1000,종로,
2019.02.18,15:00∼18:00,효자PB 궁정동,1000,종로,
2019.02.18,19:00∼21:00,광화문 남측광장 세종대로,100,종로,
2019.02.19,09:00∼18:00,에이스건설 문래동,40,영등포,
2019.02.19,10:00∼12:00,성북구청 삼선동,100,성북,
2019.02.19,10:00∼13:00,서대문 구청 연희동,50,서대문,
2019.02.19,10:00∼15:00,마포구청 광장 성산동,200,마포,
2019.02.19,11:00∼12:00,성북구청 삼선동,30,성북,
2019.02.19,11:00∼12:00,KAL빌딩 서소문동,30,남대문,
2019.02.19,12:00∼14:00,코오롱글로텍 마곡동,200,강서,
2019.02.19,12:00∼13:30,시청 태평로 1가,300,남대문,
2019.02.19,12:30∼15:00,효봉빌딩 입정동,300,중부,
2019.02.19,14:00∼16:00,LG트윈타워 여의도,200,영등포,
2019.02.19,14:00∼17:00,BH사랑채,500,종로,
2019.02.19,14:00∼18:00,지역사회교육회관 방이동,60,송파,
2019.02.19,15:00∼17:00,더민주당사 여의도,70,영등포,
2019.02.19,19:00∼21:00,광화문 남측광장 세종로,100,종로,
2019.02.20,05:30∼07:30,무지개아파트 서초동,400,서초,
2019.02.20,05:30∼09:00,논현아이파크 논현동,100,강남,
2019.02.20,05:30∼11:00,경인로63길 17 신도림동,500,구로,
2019.02.20,08:00∼18:00,대우건설 새문안로,100,종로,
2019.02.20,09:00∼12:00,강북씨엔지 쌍문동,24,도봉,
2019.02.20,09:00∼18:00,파크하얏트호텔,400,수서,
2019.02.20,10:00∼13:00,서대문구청 연희동,50,서대문,
2019.02.20,10:00∼16:00,마포구청 광장 성산동,200,마포,
2019.02.20,11:00∼17:00,롯데홈쇼핑 양평동,100,영등포,
2019.02.20,11:30∼12:30,카무르파트너스,500,강남,
2019.02.20,12:00∼13:00,일본대사관 율곡로,100,종로,
2019.02.20,12:30∼13:30,북촌로11길 112,200,종로,
2019.02.20,13:30∼14:30,세종로소공원 세종대로,5000,종로,
2019.02.20,14:00∼15:00,더민주당사 여의도,800,영등포,
2019.02.20,14:00∼17:00,BH사랑채 효자동,500,종로,
2019.02.20,15:00∼15:40,더민주당사 여의도,800,영등포,
2019.02.20,15:00∼16:30,세종로소공원 세종대로,5000,종로,
2019.02.20,16:30∼18:00,세종로소공원,5000,종로,
2019.02.20,17:00∼18:00,금천구청,200,금천,
2019.02.20,19:00∼20:30,자유한국당사 영등포동,300,영등포,
2019.02.20,19:00∼21:00,광화문 세종로,100,종로,
