관할서,위도,경도,시위 인원수,구별,주소
강남,127.06707150521913,37.50938856957773,575.0,강남구,서울 강남구 대치동 998
강동,127.12689445192979,37.528675586086614,100.0,강동구,서울 강동구 성내동 541-1
강서,126.82998362436423,37.539782668110185,200.0,양천구,서울 양천구 신월동 25
광진,127.083842771963,37.5428136101647,500.0,광진구,서울 광진구 구의동 254-32
구로,126.886660285169,37.4948844667899,1000.0,구로구,서울 구로구 구로동 436
금천,126.89674921449215,37.45725314643252,600.0,금천구,서울 금천구 시흥동 산 189
남대문,126.973499492486,37.5549786547527,490.0,중구,서울 중구 남대문로5가 561
노원,127.071404832413,37.6423345266253,70.0,노원구,서울 노원구 하계동 250
도봉,127.05270640425917,37.65339850283973,24.0,도봉구,서울 도봉구 창동 17
동대문,127.04576239696928,37.58508176321097,120.0,동대문구,서울 동대문구 청량리동 229
동작,126.94285899341229,37.513147550556226,1000.0,동작구,서울 동작구 노량진동 72-35
마포,126.95394220726662,37.55101229580099,730.0,마포구,서울 마포구 아현동 618-1
서대문,126.96679138866718,37.56490283018693,200.0,서대문구,서울 서대문구 미근동 165
서초,127.00528950116143,37.495614213519424,470.0,서초구,서울 서초구 서초동 1726-1
성북,127.016254625261,37.5897697305228,65.0,성북구,서울 성북구 삼선동5가 301
송파,127.12716193066983,37.501976988845826,60.0,송파구,서울 송파구 가락동 9
수서,127.077143044327,37.4934972653425,700.0,강남구,서울 강남구 개포동 14
양천,126.86554089186782,37.51655448877979,30.0,양천구,서울 양천구 신정동 321
영등포,126.90094655076123,37.52585217071908,953.3333333333333,영등포구,서울 영등포구 당산동3가 2-11
용산,126.967778896191,37.5411811395942,500.0,용산구,서울 용산구 원효로1가 12-12
종로,126.98489890358965,37.57554203072626,5655.384615384615,종로구,서울 종로구 경운동 90-18
종암,127.0322331298805,37.60209664507542,50.0,성북구,서울 성북구 종암동 3-1260
중부,126.98959144113,37.5636199296203,330.0,중구,서울 중구 저동2가 62-1
